verbandsnummer;typ;messung_et;abrechnung_et;zaehler_et;mp_et;messung_dt;abrechnung_dt;zaehler_dt;mp_dt;arbeitspreis;grundpreis;vorlaeufig
9900754000002;Haushalt;4.56;18.36;4.68;27.6;4.56;18.36;4.68;27.6;6.28;47.55;FALSCH
9900755000001;Haushalt;3;10.2;6.6;19.8;3;10.2;20.66;33.86;5.06;33;FALSCH
9900756000000;Haushalt;2.36;13.91;8.6;24.87;2.36;13.91;8.6;24.87;5.1;30;FALSCH
9900757000009;Haushalt;5.2;12;15;32.2;5.2;12;15;32.2;5.66;42;FALSCH
9900759000007;Haushalt;1.94;6.87;8.34;17.15;1.94;6.87;16.29;25.1;4.51;20;FALSCH
9900760000004;Haushalt;4.92;11.67;9.04;25.63;7.76;12.15;30.97;50.88;5.08;18.25;FALSCH
9900761000003;Haushalt;1.8;6;7.2;15;1.8;6;7.2;15;6.56;22.5;FALSCH
9900762000002;Haushalt;3.03;12.93;10.93;26.89;3.03;12.93;10.93;26.89;5.85;37.9;FALSCH
9900763000001;Haushalt;4;10.5;5;19.5;15;12;10;37;6.64;14.5;FALSCH
9900765000009;Haushalt;5.2;10.6;10;25.8;8;10.6;20;38.6;5.89;24;FALSCH
9900766000008;Haushalt;4.26;11.31;9.04;24.61;4.26;11.31;36.12;51.69;6.84;45;FALSCH
9900767000007;Haushalt;1.35;11.4;10.5;23.25;1.35;11.4;25.7;38.45;6.5;23;FALSCH
9900770000002;Haushalt;3.5;13.33;12.05;28.88;3.5;13.33;35.05;51.88;5.38;19.21;FALSCH
9900771000001;Haushalt;3.64;11.14;6.47;21.25;3.64;11.14;14.89;29.67;5.39;39.9;FALSCH
9900772000000;Haushalt;3;11.84;9.76;24.6;3;11.84;20.78;35.62;6.17;13.8;FALSCH
9900773000009;Haushalt;3.2;11.65;6.3;21.15;4.35;11.65;21.61;37.61;4.49;15.36;FALSCH
9900774000008;Haushalt;1.2;10.8;7.8;19.8;1.2;10.8;15.6;27.6;4.57;18.7;FALSCH
9900775000007;Haushalt;2.4;8.63;6.72;17.75;2.4;8.63;12.72;23.75;4.51;18;FALSCH
9900776000006;Haushalt;1.84;8.62;5.24;15.7;5.4;8.62;18.6;32.62;4.24;29.5;FALSCH
9900777000005;Haushalt;1.85;7.5;5;14.35;1.85;7.5;27;36.35;6.07;21;FALSCH
9900778000004;Haushalt;2.4;9;8.5;19.9;3.6;9;21;33.6;4.89;18;FALSCH
9900781000009;Haushalt;2.45;12.07;8.17;22.69;2.45;12.07;30.86;45.38;7.75;18;FALSCH
9900782000008;Haushalt;1.8;7.2;6.6;15.6;1.8;7.2;20.4;29.4;6.88;27.5;FALSCH
9900783000007;Haushalt;1.8;7.2;7.2;16.2;1.8;7.2;20.4;29.4;5.48;24;FALSCH
