PLZ;Ort;Netzbetreiber;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Konzessionsabgabe (ct/kWh);Verbandsnummer
88167;Röthenbach. ;Elektrizitäts-Genossenschaft Röthenbach eG;41.6;6.2;19.8;1.32;9900548000002
88175;Scheidegg. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88138;Sigmarszell. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88138;Sigmarszell. ;Elektrizitäts-Genossenschaft Schlachters eG;48;6.5;15;1.32;9900596000004
88175;Westkinberg. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88167;Stiefenhofen. ;Weißachtal-Kraftwerke eG;60;7.89;13.6;1.32;9900489000004
88142;Wasserburg. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.32;9900388000006
88142;Wasserburg. ;Stadtwerke Lindau (B) GmbH & Co. KG;23.3;7.15;15.2;1.32;9900388000006
88171;Weiler-Simmerberg. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88138;Weißensberg. ;Elektrizitäts-Genossenschaft Schlachters eG;48;6.5;15;1.32;9900596000004
88145;Hergatz. ;Elektrizitätsnetze Allgäu GmbH;30;4.85;12.6;1.32;9907721000007
88145;Hergatz. ;Netze BW GmbH;40;7.35;10.6;1.32;4041407000008
87648;Aitrang. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
