PLZ;Ort;Netzbetreiber;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Konzessionsabgabe (ct/kWh);Verbandsnummer
86169;Augsburg. ;swa Netze GmbH;66.2;4.19;6.56;1.99;9900028000001
86179;Augsburg. ;swa Netze GmbH;66.2;4.19;6.56;1.99;9900028000001
86199;Augsburg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.99;9900027000002
86199;Augsburg. ;swa Netze GmbH;66.2;4.19;6.56;1.99;9900028000001
87600;Kaufbeuren. ;Vereinigte Wertach-Elektrizitätswerke GmbH;57;5.17;10.05;1.59;9900334000000
87435;Kempten. ;AllgäuNetz GmbH & Co. KG;60;7.48;10.75;1.59;9907387000003
87437;Kempten. ;AllgäuNetz GmbH & Co. KG;60;7.48;10.75;1.59;9907387000003
87439;Kempten. ;AllgäuNetz GmbH & Co. KG;60;7.48;10.75;1.59;9907387000003
87700;Memmingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.59;9900027000002
86559;Adelzhausen. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.27;9901068000001
86444;Affing. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86551;Aichach. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86551;Aichach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86447;Aindling. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86453;Dasing. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86453;Dasing. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86495;Eurasburg. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86495;Eurasburg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86316;Friedberg. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.59;9900027000002
86568;Hollenbach. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86570;Inchenhofen. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86438;Kissing. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86556;Kühbach. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86504;Merching. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86415;Mering. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86573;Obergriesbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86574;Petersdorf. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86554;Pöttmes. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86554;Pöttmes. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86508;Rehling. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86510;Ried. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86510;Ried. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86576;Schiltberg. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86511;Schmiechen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86577;Sielenbach. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
82297;Steindorf. ;Stadtwerke Fürstenfeldbruck GmbH;39;6.07;10.61;1.32;9900206000005
82297;Steindorf. ;Bayernwerk Netz GmbH;69.35;5.2;9;1.32;9901068000001
86447;Todtenweis. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86674;Baar. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86477;Adelsried. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86695;Allmannshofen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86450;Altenmünster. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86482;Aystetten. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86485;Biberbach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86399;Bobingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86486;Bonstetten. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86420;Diedorf. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86424;Dinkelscherben. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86678;Ehingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86679;Ellgau. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.23;9900027000002
86494;Emersacker. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.23;9900027000002
86850;Fischach. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86456;Gablingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86368;Gersthofen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86459;Gessertshausen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86836;Graben. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86845;Großaitingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
